hidden_layers,loss_types,learning_rates,epochs,batch_sizes,train,test
8-4-2,huber,0.001,500,2,1.38702225737786,2.34519454285361
7-4-3-2,huber,0.001,500,2,1.29452856966056,2.25218188395734
9-6-4-3,huber,0.001,500,2,0.9494908987407,1.68245088809671
10-5-3-2,huber,0.001,500,2,1.06015587325646,2.23179892412952
4-4,pseudo-huber,0.001,500,2,1.55678911384732,2.27304980356723
5-2,pseudo-huber,0.001,500,2,1.79889228511263,2.47146435058052
6-3-2,pseudo-huber,0.001,500,2,1.23037600635551,1.64879131228346
8-4-2,pseudo-huber,0.001,500,2,0.841021243779667,1.40804198109918
7-4-3-2,pseudo-huber,0.001,500,2,1.0209454147563,1.72095382292616
9-6-4-3,pseudo-huber,0.001,500,2,0.662110131750254,1.10242882450238
10-5-3-2,pseudo-huber,0.001,500,2,1.41530559932878,2.53797728423445
4-4,absolute,0.003,500,2,1.29318970854222,1.57275995162181
5-2,absolute,0.003,500,2,1.71979493387378,2.56500214783292
6-3-2,absolute,0.003,500,2,1.00960329767766,1.47006902667732
8-4-2,absolute,0.003,500,2,1.30449350316651,1.99706173846793
7-4-3-2,absolute,0.003,500,2,1.20721816974917,1.58524550977438
9-6-4-3,absolute,0.003,500,2,0.807000516291455,1.33771282864617
10-5-3-2,absolute,0.003,500,2,0.826506417512869,1.74101829525754
4-4,squared,0.003,500,2,1.04551305434746,1.45001259975961
5-2,squared,0.003,500,2,1.762219370102,2.79126664175238
6-3-2,squared,0.003,500,2,0.773440060276767,1.38246598316442
8-4-2,squared,0.003,500,2,0.676868174537517,1.4829895208041
7-4-3-2,squared,0.003,500,2,1.25558200781413,2.58547459826209
9-6-4-3,squared,0.003,500,2,0.530379057635085,1.382860549865
10-5-3-2,squared,0.003,500,2,0.537502298589322,1.20431501942113
4-4,huber,0.003,500,2,1.30941594230913,2.2710683574446
5-2,huber,0.003,500,2,1.60496613509673,2.45510393143806
6-3-2,huber,0.003,500,2,1.37987664506169,2.59533812753711
8-4-2,huber,0.003,500,2,1.23413727135783,2.69338731705386
7-4-3-2,huber,0.003,500,2,0.676948093691264,1.08588083793352
9-6-4-3,huber,0.003,500,2,1.20945340822463,2.9807753620695
10-5-3-2,huber,0.003,500,2,0.772451986405791,2.30805149476419
4-4,pseudo-huber,0.003,500,2,1.32463942565307,1.88128256748715
5-2,pseudo-huber,0.003,500,2,1.05350277914197,1.48492526605584
6-3-2,pseudo-huber,0.003,500,2,1.39817598773154,2.40880013732789
8-4-2,pseudo-huber,0.003,500,2,0.67715913021811,1.0475700888871
7-4-3-2,pseudo-huber,0.003,500,2,0.846006746959747,1.27856178602271
9-6-4-3,pseudo-huber,0.003,500,2,0.445957359394076,1.05934227362478
10-5-3-2,pseudo-huber,0.003,500,2,0.799435654188691,1.65415547363942
4-4,absolute,0.01,500,2,1.9957068615607,2.29487057328367
5-2,absolute,0.01,500,2,1.71561543694853,2.01711551931163
6-3-2,absolute,0.01,500,2,2.75006862150614,3.04402773632198
8-4-2,absolute,0.01,500,2,1.34580689984942,1.84303702779645
7-4-3-2,absolute,0.01,500,2,1.78838938760361,2.44249792705188
9-6-4-3,absolute,0.01,500,2,2.55149371953756,2.94055498161251
10-5-3-2,absolute,0.01,500,2,1.93904507045489,2.33775888873505
4-4,squared,0.01,500,2,1.52251233128654,1.79362985156029
5-2,squared,0.01,500,2,0.966513326487741,1.29637242170683
6-3-2,squared,0.01,500,2,1.05488506283732,1.93808965873316
8-4-2,squared,0.01,500,2,0.733390814440693,1.29348348559138
7-4-3-2,squared,0.01,500,2,0.622429465839288,1.00892175783444
9-6-4-3,squared,0.01,500,2,1.0190268783634,2.54036945256434
10-5-3-2,squared,0.01,500,2,0.422456669755502,0.931368853732609
4-4,huber,0.01,500,2,1.120510142731,1.44628448722015
5-2,huber,0.01,500,2,1.69012385188175,2.5084936538579
6-3-2,huber,0.01,500,2,0.778458899403905,1.2088035253582
8-4-2,huber,0.01,500,2,0.857881886572104,1.77181892121003
7-4-3-2,huber,0.01,500,2,0.532217084140253,1.31201163539245
9-6-4-3,huber,0.01,500,2,0.421217644779037,1.02531188265965
10-5-3-2,huber,0.01,500,2,0.412192028021849,1.14236819198751
4-4,pseudo-huber,0.01,500,2,0.818090658371873,1.21489429314006
5-2,pseudo-huber,0.01,500,2,0.988382510888122,1.22385745215415
6-3-2,pseudo-huber,0.01,500,2,1.13390368618787,2.23562928742552
8-4-2,pseudo-huber,0.01,500,2,0.691673754369103,1.3149264733036
7-4-3-2,pseudo-huber,0.01,500,2,0.751844966718257,1.15326280889287
9-6-4-3,pseudo-huber,0.01,500,2,0.713117970255295,2.09008671853722
10-5-3-2,pseudo-huber,0.01,500,2,0.587132629650022,1.33583450891794
4-4,absolute,0.03,500,2,6.13169078491668,5.8194345753466
5-2,absolute,0.03,500,2,3.25978527161834,3.23259885198702
6-3-2,absolute,0.03,500,2,4.64926480366341,4.95655610573958
8-4-2,absolute,0.03,500,2,3.95660217890163,4.12129551649967
7-4-3-2,absolute,0.03,500,2,5.84986448455927,5.38833799663592
9-6-4-3,absolute,0.03,500,2,4.46099253339748,4.14614131615077
10-5-3-2,absolute,0.03,500,2,4.59148810575975,4.41446741426398
5-2,squared,0.03,500,2,5.24361265225989,4.92235163022058
6-3-2,squared,0.03,500,2,11.2919154497977,10.8101556933907
8-4-2,squared,0.03,500,2,6.2768697082729,6.66822250215392
7-4-3-2,squared,0.03,500,2,8.77790615661659,8.35663440956091
9-6-4-3,squared,0.03,500,2,6.79239450808961,7.16314527353824
